filename,title,tags
1_vegan_vs_3_replacing_beef_EN_1.1.png,The effect of convincing two others to also replace beef,"beef,vegan,vegetarian,pork,chicken,meat replacement,diet change,diet comparison,carbon footprint,CO2,greenhouse gas emissions,emission reduction,convincing others,social impact,bar chart"
250_ml_whole_milk_eq_1.1_EN.png,A sustainable amount of dairy = one of these options per day,"dairy,milk,yogurt,cream,cheese,butter,bread,portion size,milk equivalents,daily recommendation,sustainable diet,healthy diet,EAT-Lancet,planetary health diet"
Avocado_water_use_2_EN.png,Avocados require a lot of water for a fruit,"avocado,water use,water footprint,water scarcity,drought,beef burger,beef,pineapple,tomato,banana,fruit,vegetables,liters,bar chart"
B12_in_co2.png,Different ways to get half of daily B12 requirement,"vitamin B12,nutrients,nutrition,carbon footprint,CO2,sausage,hamburger,beef,meat,milk,yogurt,dairy,eggs,salmon,fish,animal products,bar chart"
B12_per_week_1.1_EN.png,"Recommended amount of meat & dairy per week, for health and sustainability","recommended intake,weekly portions,portion size,meat,dairy,milk,hamburger,beef,pork,eggs,chicken,fish,salmon,healthy diet,sustainable diet,EAT-Lancet,planetary health diet"
Carbon_footprint_of_food_waste_EN.png,Climate impact of food waste: half of it comes from meat,"food waste,carbon footprint,CO2,climate impact,meat,dairy,fruit,vegetables,grains,potatoes,fish,product categories,pie chart"
Rice_and_methane_2_EN.png,"Rice causes methane, but not as much as cows","methane,rice,cows,cattle,ruminants,livestock,fossil fuels,waste,landfill,greenhouse gases,emission sources,global emissions,pie chart"
Seasonal_lettuce_EN.png,The carbon footprint of lettuce throughout the year,"lettuce,salad,seasonal food,seasons,winter,spring,summer,autumn,greenhouse,heated greenhouse,imported food,local food,food miles,transport,Spain,Switzerland,carbon footprint,CO2,vegetables,bar chart"
Top_climate_solutions_Drawdown_EN.png,Top climate solutions: our food choices play a huge role as well,"climate solutions,climate action,Project Drawdown,solar energy,wind energy,renewable energy,electric cars,reduce beef,food waste,food choices,gigatons CO2,ranking,bar chart"
Total_food_waste_2_EN.png,Most food is wasted at home,"food waste,households,waste at home,restaurants,retail,distribution,manufacturing,production,supply chain,EU,Europe,Eurostat,percentages,stacked bar chart"
What_is_whole_grain_1.1_EN.png,Whole grain vs refined grain,"whole grain,refined grain,wheat,bran,germ,endosperm,grain anatomy,cereals,bread,fiber,nutrition,healthy diet"
agroforestry_1.1_EN.png,How coffee and chocolate can be sustainable,"agroforestry,monoculture,coffee,chocolate,cocoa,cacao,shade grown,deforestation,forest,trees,biodiversity,farmer income,crop quality,sustainable farming"
apple_varieties_1.1_EN.png,Apple varieties in the world vs in the supermarket,"apples,apple varieties,cultivars,biodiversity,agrobiodiversity,crop diversity,supermarket,food choice,heritage varieties,fruit,dot chart"
bbq_2_EN.png,Climate impact of a BBQ: the ingredients matter most,"BBQ,barbecue,grilling,hamburger,beef,sausages,pork,chicken,drumsticks,corn,charcoal,gas grill,disposable grill,fuel,carbon footprint,CO2,summer,bar chart"
benefits_of_seasonal.png,The benefits of seasonal food,"seasonal food,seasons,local farmers,local food,biodiversity,new vegetables,nature,saving money,food budget,mindset,benefits"
blue_and_green_water.png,A steak requires more water than a shower,"water footprint,water use,green water,blue water,rainwater,groundwater,irrigation,steak,beef,meat,shower,household water,liters"
butter_vs_margarine.png,Margarine has a much lower footprint than butter,"butter,margarine,plant-based spread,dairy,fats,carbon footprint,CO2,land use,water use,water pollution,bar chart"
carbon_storage_soil.png,Soils contain a lot more carbon than forests,"soil,carbon storage,carbon sink,soil health,regenerative agriculture,industrial agriculture,tillage,atmosphere,forests,plants,CO2,gigatons,farming"
cereal_use.png,Two thirds of EU cereals are used as animal feed,"cereals,grains,animal feed,livestock,human food,biofuels,seeds,industrial use,EU,Europe,land use,food system,treemap"
cheese_footprint.png,"Cheese has a higher footprint than pork, fish and chicken","cheese,dairy,beef,pork,fish,chicken,eggs,carbon footprint,CO2,animal products,bar chart"
cheese_footprint_serving_size.png,Climate tip for cheese lovers: choose smaller portion sizes,"cheese,mozzarella,gouda,feta,parmesan,portion size,serving size,carbon footprint,CO2,climate tip,dairy,bar chart"
cheese_milk.png,Cheese has a high footprint because it requires a lot of milk,"cheese,milk,dairy,production process,conversion,liters of milk,carbon footprint,resource use"
chocolade_cake.png,The carbon footprint of a chocolate cake,"chocolate cake,baking,dessert,chocolate,butter,milk,cream,eggs,sugar,flour,spaghetti bolognese,carbonara,green curry,tofu,meals,recipes,carbon footprint,CO2,ingredients breakdown,stacked bar chart"
climate_superfood_-_legumes.png,Legumes are the superfood for the climate,"legumes,pulses,beans,lentils,chickpeas,kidney beans,plant-based protein,protein,low CO2,carbon footprint,water use,superfood,sustainable diet"
co2_of_fish_3_EN.png,Carbon footprint of land vs 'sea-meat',"fish,seafood,shrimp,prawns,tuna,salmon,herring,mussels,shellfish,beef,chicken,mangrove,aquaculture,fish farming,carbon footprint,CO2,bar chart"
coffee_machines.png,Carbon footprint of coffee,"coffee,coffee machine,capsules,pods,French press,espresso,packaging,brewing method,sustainable coffee,carbon footprint,CO2,drinks,bar chart"
coffee_vs_tea_2.png,Climate tip for caffeine addicts: drink more tea than cappuccino,"coffee,tea,cappuccino,black coffee,milk,dairy,caffeine,drinks,beverages,climate tip,carbon footprint,CO2,bar chart"
complete_protein.png,How to get 'complete proteins',"complete protein,amino acids,protein,plant-based protein,protein myths,meat,broccoli,bread,beans,food diversity,nutrition,vegetarian,vegan"
cooking_pasta.png,How to reduce the carbon footprint of cooking pasta,"pasta,cooking,kitchen tips,energy use,lid on pan,boiling water,gas stove,saving energy,carbon footprint,CO2,climate tip"
dairy_vs_soy_cream.png,The climate impact of replacing dairy cream with soy cream,"cream,soy cream,dairy,plant-based alternatives,soy,pasta,recipe,pears,walnuts,leek,green beans,swapping ingredients,carbon footprint,CO2,stacked bar chart"
decline_on_food_spending_2_EN.png,We spend less and less money on food,"food spending,household budget,food prices,cost of food,economics,history,1900,1960,Netherlands,EU,percentage of income,pie chart"
decrease_of_insects.png,The number of flying insects is declining at alarming rates,"insects,insect decline,biodiversity,biodiversity loss,bees,butterflies,beetles,flies,pollinators,nature,protected areas,Germany,pesticides"
definition_of_organic_1.1_EN.png,Organic agriculture = working more in harmony with nature,"organic farming,organic agriculture,industrial agriculture,pesticides,chemical fertilizer,compost,crop rotation,soil health,nature,farming methods"
deforestation_causes_1.1_EN.png,For what are we cutting down the rainforest?,"deforestation,rainforest,forest loss,beef,cattle ranching,soy,palm oil,wood,paper,cereals,rice,sugar,land use,drivers of deforestation,treemap"
division-of-co2-in-diet.png,The average EU diet: Meat & dairy cause 83% of emissions,"diet emissions,meat,dairy,cheese,oils,drinks,cereals,potatoes,fruits,vegetables,nuts,EU diet,Europe,greenhouse gas emissions,CO2,share of emissions,pie chart"
double_purpose_cows.png,Beef from dairy cows has a much lower carbon footprint,"beef,dairy cows,beef herd,dairy herd,cattle,dual purpose cows,livestock,carbon footprint,CO2,meat production,bar chart"
drinks.png,The carbon footprint of various drinks,"drinks,beverages,milk,wine,beer,coffee,orange juice,tea,alcohol,juice,carbon footprint,CO2,bar chart"
driving_local_food_1.1_EN.png,The footprint of doing groceries by car,"groceries,shopping,car,driving,home delivery,delivery van,food miles,transport,local food,farm shop,distance,carbon footprint"
eating_less_meat_imagination.png,Eating less meat: what people think vs what it actually looks like,"eating less meat,meat reduction,vegetarian meals,plant-based meals,perception,barriers,mindset,recipes,curry,pasta,chili,motivation"
eggs_footprint.png,Eggs have a lower footprint than meat and cheese,"eggs,beef,cheese,bacon,pork,breakfast,sandwich toppings,animal products,protein,carbon footprint,CO2,bar chart"
emissions_of_transport_methods.png,Transporting food by boat has a very low footprint,"transport,shipping,air freight,airplane,truck,road transport,rail,train,boat,ship,food miles,logistics,carbon footprint,CO2,bar chart"
energy_use_of_oven.png,"The oven uses more energy, but what you eat is more important","oven,frying pan,cooking,cooking methods,energy use,kitchen appliances,pork,bacon,potato,carbon footprint,CO2,climate tip,bar chart"
eutrophication_2_EN.png,"How agriculture is polluting lakes, rivers, and the ocean","eutrophication,water pollution,manure,fertilizer,nutrients,nitrogen,algae bloom,oxygen,dead zones,fish die-off,lakes,rivers,ocean,agriculture"
fair_price_of_rice_2_EN.png,How small-scale farmers get exploited,"fair price,living income,small-scale farmers,farmer income,exploitation,coffee,bananas,rice,Ecuador,Colombia,Thailand,fairtrade,food prices,social sustainability,bar chart"
fairtrade_bananas.png,Buying Fairtrade products,"fairtrade,bananas,fair trade,farmer income,supermarket,price,paying extra,annual budget,mindset,consumer choice,social sustainability"
feed_conversion.png,Amount of feed it takes for 1 kg meat,"animal feed,feed conversion,beef,pork,chicken,corn,soy,grain,livestock,resource efficiency,land use,meat production"
fish_feed_2_EN.png,What goes into a farmed salmon filet,"salmon,farmed fish,aquaculture,fish feed,wild caught fish,herring,fish cut-offs,soy,corn,feed,Norway,seafood"
food_causes_one_third_of_climate_change.png,Our food causes 1/3 of all emissions,"food system,global emissions,climate change,greenhouse gases,CO2,one third,share of emissions,hamburger,cheese,steak,bacon,banana,avocado,pineapple,infographic"
food_waste_hierarchy.png,The food waste hierarchy: composting still counts as waste,"food waste,waste hierarchy,prevention,reduction,redistribution,food donation,animal feed,anaerobic digestion,compost,incineration,landfill,leftovers"
footprint_of_cacao.png,The footprint of chocolate: from carbon-negative to 5x worse than beef,"chocolate,cacao,cocoa,deforestation,Indonesia,agroforestry,beef,carbon negative,carbon footprint,CO2,sweets,bar chart"
frozen_food_waste_EN.png,Frozen food is wasted 6x less than the fresh version,"frozen food,fresh food,food waste,freezer,preservation,fruit,vegetables,potatoes,strawberries,broccoli,shelf life,climate tip,bar chart"
grass-fed_vs_organic.png,Organic seems to be a better indicator than grass-fed for biodiversity,"grass-fed,organic,labels,certification,biodiversity,pasture,grassland,monoculture,chemical fertilizer,cows,dairy,beef,wildflowers,bees"
grass_vs_meadow_EN_1.1.png,Most grassland for cows (and a lot of lawns),"grassland,pasture,meadow,grass monoculture,wildflowers,flower meadow,lawns,biodiversity,cows,dairy,land use,nature"
grassfed_beef_1.1_EN.png,Why grass-fed beef doesn't have a lower carbon footprint,"grass-fed beef,beef,cows,cattle,methane,manure,land use,carbon sequestration,grazing,pasture,livestock,carbon footprint,myths"
health_benefits_of_whole_grain_2_EN.png,"Whole grain vs refined grain: protein, fibre and vitamins","whole grain,refined grain,pasta,bread,fibre,protein,vitamins,nutrition,health benefits,healthy diet,cereals"
honey_bees_1.1_EN.png,Honey bees are less effective pollinators and don't increase biodiversity,"honey bees,beehives,beekeeping,pollinators,wild bees,butterflies,biodiversity,flowers,sunflowers,competition,myths"
how_fairtrade_works_1.1_EN.png,What Fairtrade farmers are paid,"fairtrade,minimum price,fairtrade premium,coffee,coffee price,arabica,farmer income,market price,price volatility,social sustainability,line chart,area chart"
hunting_for_biodiversity_1.1_EN.png,Hunting can increase biodiversity,"hunting,population control,deer,wildlife management,biodiversity,insects,bees,butterflies,flowers,vegetation,nature reserve,Netherlands,national park"
impact_meat_substitutes.png,Plant-based meat has a lower climate impact than meat,"meat substitutes,plant-based meat,vegetarian burger,meat analogues,beef,cheese,pork,chicken,nuts,legumes,carbon footprint,CO2,bar chart"
impact_of_organic.png,How much organic food can reduce your footprint,"organic food,organic farming,low meat diet,high meat diet,diet comparison,carbon footprint,CO2,labels,emission reduction,bar chart"
induction_vs_gas.png,Why eating differently is more important than cooking differently,"induction,gas stove,cooking,kitchen appliances,energy use,diet,Dutch diet,what you eat,carbon footprint,CO2,perspective,bubble chart"
